Î» (nm)	photon flux (Î³/s/cm^2/nm)
290.50	88943886457390.08
291.50	83020924539692.14
292.50	72833059160881.39
293.50	82653899587483.67
294.50	74856720545326.50
295.50	83919636356776.33
296.50	75332255282221.58
297.50	80716922351343.20
298.50	59915593344400.86
299.50	84274852248717.17
300.50	55662825284233.83
301.50	76071325762149.11
302.50	74448616183720.70
303.50	97818578277492.72
304.50	92408703516450.36
305.50	97215577422275.89
306.50	87316357732166.22
307.50	101116265469363.12
308.50	102060686563034.53
309.50	76973621566556.00
310.50	95167550482945.55
311.50	109215706999654.44
312.50	101177024903997.73
313.50	105368776505433.14
314.50	103395161127879.94
315.50	96465831855317.38
316.50	101840204044672.52
317.50	114386682387564.17
318.50	105558385182613.88
319.50	112493095921660.39
320.50	119615656779431.50
321.50	112968092326654.20
322.50	107501435520564.39
323.50	108215273645161.33
324.50	122209135627326.72
325.50	141399528391940.91
326.50	155781004527618.50
327.50	154040507380736.75
328.50	154466851849855.28
329.50	167072281603991.22
330.50	166834227328080.78
331.50	159212979084484.38
332.50	156675333144682.53
333.50	154789817801925.12
334.50	158678187392286.50
335.50	154724333830722.41
336.50	142591146811680.25
337.50	144162439278033.69
338.50	155541648805369.28
339.50	165570645992114.38
340.50	168456731903674.94
341.50	166124927593476.50
342.50	168649761724550.06
343.50	161087813914880.78
344.50	151686133313210.62
345.50	157685201715760.34
346.50	162883445881642.84
347.50	161085247398838.84
348.50	160620057601368.31
349.50	166603101510882.88
350.50	177137114789102.34
351.50	175981421063627.06
352.50	173635722053172.97
353.50	185240039654051.75
354.50	194957262612748.72
355.50	188017446280418.41
356.50	170076469954882.34
357.50	151294866673550.75
358.50	151381571814383.25
359.50	169012984992428.34
360.50	176531766258149.09
361.50	175992843594000.28
362.50	180102543342514.41
363.50	186896305469614.78
364.50	197872043207468.09
365.50	212457477889516.41
366.50	222706726844728.44
367.50	222980117466545.94
368.50	221249575841202.72
369.50	224609313047686.09
370.50	223622714570508.03
371.50	217076832661795.00
372.50	201243914447899.59
373.50	187843711558118.16
374.50	185675049378989.69
375.50	196520356172652.66
376.50	217465231579300.38
377.50	234335786883321.66
378.50	238421106751182.19
379.50	232190261092665.25
380.50	220239496529896.06
381.50	198608267233314.47
382.50	176047134324064.16
383.50	166422382968922.97
384.50	176021488853947.81
385.50	189002395341173.22
386.50	195469938716168.66
387.50	199447680853204.53
388.50	208381838967703.00
389.50	225578764132778.69
390.50	236140986680515.84
391.50	226143876573569.72
392.50	203323694072302.28
393.50	190306137898875.50
394.50	193857567509923.91
395.50	203624582799416.25
396.50	214767586457949.34
397.50	237001448418687.00
398.50	274253544007334.00
399.50	312589512947159.06
400.50	339342947754027.19
401.50	350711224563587.94
402.50	353596189254452.12
403.50	351313510691534.19
404.50	346842097628869.31
405.50	342713762997387.56
406.50	343522215592701.69
407.50	345687841788298.44
408.50	349608545368271.94
409.50	354292779714734.50
410.50	357584375627770.12
411.50	364724438109970.81
412.50	368883251151697.56
413.50	373222357969680.69
414.50	374898103439042.75
415.50	373422791617577.00
416.50	372775368945009.06
417.50	369610668290860.06
418.50	369461797877207.31
419.50	369800647639059.81
420.50	370431931469463.75
421.50	371877441489238.19
422.50	370041550998972.56
423.50	368658398229198.12
424.50	366757384838560.00
425.50	363816170813604.88
426.50	359718659129513.56
427.50	348845737476869.75
428.50	337712420004675.56
429.50	329810823264772.25
430.50	328678963798737.56
431.50	337869925630854.94
432.50	352448755932314.00
433.50	367768370716298.69
434.50	380862737389045.50
435.50	388222171412281.62
436.50	392457437150866.88
437.50	392969280418773.75
438.50	394743413307663.25
439.50	399657377120434.62
440.50	406740432790019.00
441.50	416553240691551.69
442.50	424948514623413.38
443.50	430742082603230.44
444.50	435288126457756.00
445.50	438409606851796.00
446.50	443378119264694.38
447.50	451430284370737.38
448.50	458920768673083.12
449.50	464422620418930.50
450.50	468764158701411.94
451.50	469226716470470.06
452.50	467478557751668.06
453.50	467015301374972.75
454.50	467998584491906.69
455.50	469476502969317.69
456.50	472233643582999.25
457.50	475523316606298.44
458.50	478125842264282.88
459.50	480462579508256.19
460.50	482552564316750.88
461.50	484176882977542.38
462.50	484656708002146.56
463.50	483864152866971.44
464.50	482264302838222.25
465.50	480532632886450.19
466.50	478257639903410.81
467.50	477495022582195.81
468.50	478297345820494.12
469.50	479745054687992.31
470.50	482032413012856.62
471.50	485402708521984.25
472.50	488918274295785.06
473.50	492215438567736.44
474.50	495554543989613.38
475.50	498810634557643.88
476.50	501549390217828.69
477.50	504214164843042.56
478.50	506816164873771.44
479.50	507896676232751.88
480.50	507739054670357.81
481.50	503722169044949.62
482.50	497833429105040.81
483.50	490736535022729.62
484.50	483511767960300.44
485.50	477444091500230.69
486.50	473997782413901.25
487.50	473939710510815.06
488.50	476463592330693.06
489.50	480692780328938.75
