Wavelength (nm)	Total	HCO/H	CO/H2	CO/H/H			
119.2	2.20E-17	0.00E+00	0.00E+00	2.20E-17			
120.5	3.70E-18	0.00E+00	0.00E+00	3.70E-18			
121	1.90E-17	0.00E+00	0.00E+00	1.90E-17			
121.5	7.40E-18	0.00E+00	0.00E+00	7.40E-18			
122.2	3.20E-17	0.00E+00	0.00E+00	3.20E-17			
122.6	7.30E-18	0.00E+00	0.00E+00	7.30E-18			
123.4	7.20E-18	0.00E+00	0.00E+00	7.20E-18			
123.7	3.00E-17	0.00E+00	0.00E+00	3.00E-17			
124	6.00E-18	0.00E+00	0.00E+00	6.00E-18			
125.6	8.60E-18	0.00E+00	0.00E+00	8.60E-18			
126	2.60E-17	0.00E+00	0.00E+00	2.60E-17			
126.6	7.40E-18	0.00E+00	0.00E+00	7.40E-18			
128.3	1.50E-17	0.00E+00	0.00E+00	1.50E-17			
128.8	7.30E-17	0.00E+00	0.00E+00	7.30E-17			
129.1	2.40E-17	0.00E+00	0.00E+00	2.40E-17			
129.3	3.10E-17	0.00E+00	0.00E+00	3.10E-17			
129.8	6.00E-18	0.00E+00	0.00E+00	6.00E-18			
130.2	1.20E-17	0.00E+00	0.00E+00	1.20E-17			
130.6	6.00E-18	0.00E+00	0.00E+00	6.00E-18			
132.1	6.00E-18	0.00E+00	0.00E+00	6.00E-18			
133	3.00E-18	0.00E+00	0.00E+00	3.00E-18			
133.9	1.40E-17	0.00E+00	0.00E+00	1.40E-17			
134.7	7.00E-18	0.00E+00	0.00E+00	7.00E-18			
135	1.90E-17	0.00E+00	0.00E+00	1.90E-17			
135.8	7.00E-18	0.00E+00	0.00E+00	7.00E-18			
137	1.10E-17	0.00E+00	0.00E+00	1.10E-17			
137.4	4.80E-17	0.00E+00	0.00E+00	4.80E-17			
137.7	1.30E-17	0.00E+00	0.00E+00	1.30E-17			
138.8	6.00E-18	0.00E+00	0.00E+00	6.00E-18			
139.4	8.00E-18	0.00E+00	0.00E+00	8.00E-18			
139.8	5.20E-17	0.00E+00	0.00E+00	5.20E-17			
140	1.00E-17	0.00E+00	0.00E+00	1.00E-17			
141	4.00E-18	0.00E+00	0.00E+00	4.00E-18			
145	3.00E-18	0.00E+00	0.00E+00	3.00E-18			
147.5	6.00E-18	0.00E+00	0.00E+00	6.00E-18			
149	4.00E-18	0.00E+00	0.00E+00	4.00E-18			
150.1	2.40E-17	0.00E+00	0.00E+00	2.40E-17			
150.6	5.00E-18	0.00E+00	0.00E+00	5.00E-18			
151.5	5.00E-18	0.00E+00	0.00E+00	5.00E-18			
152	5.80E-17	0.00E+00	0.00E+00	5.80E-17			
152.4	3.50E-17	0.00E+00	0.00E+00	3.50E-17			
152.8	7.10E-17	0.00E+00	0.00E+00	7.10E-17			
153.3	8.00E-18	0.00E+00	0.00E+00	8.00E-18			
155	7.00E-18	0.00E+00	0.00E+00	7.00E-18			
155.7	6.70E-17	0.00E+00	0.00E+00	6.70E-17			
156	4.00E-18	0.00E+00	0.00E+00	4.00E-18			
157	5.00E-19	0.00E+00	0.00E+00	5.00E-19			
166	5.00E-19	0.00E+00	0.00E+00	5.00E-19			
168	2.00E-18	0.00E+00	0.00E+00	2.00E-18			
170	1.00E-18	0.00E+00	0.00E+00	1.00E-18			
171	2.00E-18	0.00E+00	0.00E+00	2.00E-18			
172.4	1.10E-17	0.00E+00	0.00E+00	1.10E-17			
173.2	1.10E-17	0.00E+00	0.00E+00	1.10E-17			
174	2.20E-17	0.00E+00	0.00E+00	2.20E-17			
174.5	1.90E-17	0.00E+00	0.00E+00	1.90E-17			
175	5.20E-17	0.00E+00	0.00E+00	5.20E-17			
175.8	5.00E-18	0.00E+00	0.00E+00	5.00E-18			
176	4.00E-18	0.00E+00	0.00E+00	4.00E-18			
180	5.00E-18	0.00E+00	0.00E+00	5.00E-18			
185	2.00E-18	0.00E+00	0.00E+00	2.00E-18			
200	1.30E-20	1.83E-21	0.00E+00	1.12E-20			
